iter	Passed	Remaining
0	2	223
1	4	200
2	5	193
3	7	171
4	8	161
5	10	157
6	11	149
7	12	145
8	13	140
9	15	138
10	16	135
11	18	139
12	21	142
13	23	143
14	24	141
15	26	136
16	27	133
17	28	129
18	29	124
19	30	122
20	31	119
21	32	116
22	33	113
23	35	111
24	36	108
25	37	105
26	38	103
27	39	100
28	40	98
29	41	96
30	42	94
31	43	92
32	44	90
33	45	88
34	46	86
35	47	84
36	48	83
37	50	81
38	51	80
39	52	78
40	53	76
41	53	74
42	54	72
43	55	71
44	57	69
45	58	68
46	59	67
47	60	65
48	61	64
49	62	62
50	63	61
51	64	59
52	66	58
53	67	57
54	68	55
55	69	54
56	70	52
57	71	51
58	72	50
59	73	49
60	74	47
61	75	46
62	76	45
63	77	43
64	78	42
65	80	41
66	81	40
67	82	38
68	83	37
69	84	36
70	85	35
71	86	33
72	88	32
73	89	31
74	90	30
75	91	28
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	99	20
83	100	19
84	101	17
85	102	16
86	102	15
87	103	14
88	104	12
89	105	11
90	106	10
91	107	9
92	108	8
93	109	7
94	110	5
95	111	4
96	112	3
97	113	2
98	114	1
99	115	0
