iter	Passed	Remaining
0	1	1097
1	1	970
2	2	942
3	3	922
4	4	907
5	5	892
6	6	881
7	7	871
8	7	872
9	8	880
10	9	892
11	10	893
12	11	889
13	12	879
14	13	873
15	14	870
16	15	867
17	15	865
18	16	860
19	17	853
20	18	849
21	19	849
22	20	851
23	20	850
24	21	848
25	22	847
26	23	848
27	24	856
28	25	858
29	26	856
30	27	853
31	28	849
32	28	848
33	29	847
34	30	845
35	31	843
36	32	841
37	33	840
38	34	839
39	34	837
40	35	835
41	36	831
42	37	828
43	38	828
44	39	832
45	40	836
46	41	836
47	42	844
48	43	845
49	44	843
50	45	842
51	46	842
52	47	840
53	47	839
54	48	837
55	49	835
56	50	833
57	51	830
58	51	828
59	52	825
60	53	825
61	54	829
62	56	834
63	56	833
64	57	830
65	58	827
66	59	825
67	60	822
68	60	820
69	61	818
70	62	816
71	63	813
72	63	811
73	64	808
74	65	805
75	66	802
76	66	800
77	67	797
78	70	823
79	75	862
80	76	863
81	77	863
82	77	857
83	80	873
84	80	871
85	82	879
86	84	881
87	85	883
88	86	884
89	87	883
90	88	884
91	89	882
92	90	881
93	91	880
94	92	878
95	93	876
96	94	875
97	95	874
98	95	873
99	97	874
100	98	880
101	100	883
102	101	883
103	102	883
104	103	882
105	104	879
106	105	878
107	106	876
108	106	873
109	107	871
110	108	868
111	109	866
112	110	863
113	110	860
114	111	858
115	112	859
116	113	856
117	114	855
118	115	854
119	116	853
120	117	852
121	117	849
122	118	846
123	119	844
124	120	841
125	121	839
126	121	835
127	122	833
128	123	831
129	123	829
130	124	827
131	125	824
132	126	822
133	127	821
134	128	820
135	129	819
136	129	818
137	130	817
138	131	815
139	132	813
140	133	811
141	133	808
142	134	805
143	135	804
144	136	802
145	136	800
146	137	798
147	138	796
148	139	795
149	140	793
150	140	791
151	141	789
152	142	789
153	143	789
154	144	787
155	145	785
156	145	783
157	146	781
158	147	779
159	148	777
160	148	774
161	149	772
162	150	771
163	150	769
164	151	767
165	152	766
